Time [ms],Intensity
913210,115998
913584,115709
913958,108456
914332,96914
914706,84299
915080,71568
915454,61454
915828,56361
916202,60236
916576,78659
916950,115667
917324,168780
917698,232214
918070,286838
918445,316773
918819,306131
919193,262070
919567,200578
919941,142690
920315,103664
920689,85235
921063,83128
921437,88827
921811,96749
922185,104992
922559,113266
922933,126280
923306,142499
923680,158459
924054,168310
924428,163749
924802,146124
925176,119984
925550,94383
925924,78557
926298,72998
926672,76412
927046,83789
927420,88952
927794,88824
928168,83815
928540,79308
928915,80076
929289,89337
929663,105903
930036,121383
930411,128139
930785,121778
931159,105919
931533,90402
931907,81996
932281,83358
932655,91410
933029,99240
933403,103367
933777,101420
934150,93510
934524,79823
934897,66937
935272,55673
935646,47656
936020,41332
936394,37099
936768,35305
937142,37261
937516,43423
937890,53765
938264,65387
938638,74586
939011,79211
939385,79385
939759,78479
940133,79940
940507,83171
940881,85303
941255,84277
941629,81079
942002,77920
942377,74366
942751,71084
943125,66776
943499,60441
943873,55079
944247,51154
944620,48766
944994,46831
945367,44489
945742,41406
946116,38409
946490,36585
946863,36809
947238,40737
947612,49486
947986,63331
948359,80239
948734,95692
949108,103684
949482,102609
949855,92758
950228,79371
950603,64394
950977,50377
951351,40150
951724,35552
952099,38099
952473,51874
952847,83369
953221,140621
953595,223263
953968,311469
954343,381026
954717,406306
955089,386344
955464,312900
955838,226291
956212,156477
956586,114493
956960,92818
957334,83791
957708,78753
958082,74277
958456,69619
958829,68333
959204,73607
959578,87372
959952,106129
960324,124413
960699,132948
961073,128676
961447,112088
961820,89937
962194,68788
962569,52514
962943,42148
963316,36693
963690,34885
964065,36403
964439,41004
964812,46979
965186,51971
965560,54576
965934,53769
966308,52004
966681,50915
967055,51346
967430,53926
967804,56498
968177,59192
968551,61117
968926,65036
969300,73065
969673,87020
970048,104401
970422,118299
970795,122709
971169,116454
971542,102428
971916,88912
972291,79289
972665,73843
973038,71351
973413,69702
973787,68142
974161,66752
974534,66911
974909,68823
975283,72603
975657,80477
976030,91885
976403,107279
976778,125410
977152,141418
977526,147963
977899,146641
978274,136694
978648,133486
979022,147304
979396,186270
979770,249301
980144,313321
980518,348367
980891,339238
981264,282957
981639,206041
982013,138506
982387,95229
982761,77654
983135,77163
983509,86737
983883,98182
984257,106538
984631,107966
985005,104304
985379,103445
985752,112643
986127,140046
986500,186315
986874,241318
987248,282475
987622,292599
987996,271269
988370,224300
988744,172425
989117,126553
989492,96281
989866,77698
990240,68655
990655,59518
991070,53873
991486,50505
991902,50556
992318,60197
992733,90388
993149,156723
993565,262101
993980,389059
994396,489838
994811,518394
995227,468121
995642,357467
996058,245590
996474,176555
996889,145520
997305,126253
997721,105750
998136,84935
998551,66969
998967,54790
999383,47276
999799,42217
1000214,38321
1000630,35012
1001045,32557
1001461,32475
1001877,37192
1002292,50550
1002708,80825
1003122,139260
1003539,228624
1003955,336907
1004370,429140
1004786,456945
1005201,409802
1005617,307394
1006033,203587
1006447,140572
1006864,133113
1007279,179040
1007694,265803
1008111,367173
1008526,440602
1008942,448098
1009356,380494
1009773,268302
1010189,163662
1010603,100341
1011019,74652
1011435,77341
1011851,94577
1012266,118368
1012682,134155
1013098,136679
1013512,125585
1013928,110954
1014345,99567
1014760,94609
1015175,91654
1015591,86953
1016007,81140
1016423,76610
1016838,79125
1017254,90382
1017669,107365
1018084,120247
1018500,122230
1018916,111733
1019332,92772
1019747,75610
1020163,66062
1020579,63364
1020993,63253
1021409,61512
1021825,58093
1022241,54320
1022656,53047
1023072,52812
1023488,55020
1023903,59315
1024319,66255
1024735,75805
1025150,82995
1025566,84732
1025981,78696
1026396,66578
1026813,52552
1027227,42164
1027644,35645
1028059,33000
1028474,32510
1028890,34050
1029306,37483
1029722,43192
1030137,50954
1030553,60620
1030969,73024
1031384,88594
1031800,102729
1032215,111098
1032631,109470
1033047,98231
1033462,82554
1033878,69598
1034292,62267
1034708,65819
1035125,88096
1035540,142828
1035955,246150
1036370,401924
1036787,579839
1037203,709857
1037617,740122
1038034,659855
1038449,506177
1038865,341180
1039281,221510
1039696,154146
1040112,120150
1040527,102289
1040943,90730
1041359,83881
1041773,82139
1042190,85665
1042605,90078
1043021,92500
1043436,93561
1043851,93546
1044268,94336
1044683,93546
1045098,90031
1045514,85094
1045930,82176
1046346,91912
1046761,132929
1047177,229444
1047593,400908
1048008,652222
1048424,942811
1048839,1244425
1049255,1534696
1049671,1798850
1050086,2012692
1050502,2143517
1050917,2229370
1051332,2238163
